,length (m),temperature (°C),Stokes,anti-Stokes
0,-747.2,-200.0,-0.015,-0.17600000000000002
1,-746.185,800.0,-0.11599999999999999,0.382
2,-745.171,-200.0,0.063,0.321
3,-744.1560000000001,-200.0,0.001,0.061
4,-743.1419999999999,-200.0,0.024,0.304
5,-742.127,75.479,0.325,0.349
6,-741.112,-98.851,-0.12,0.031
7,-740.0980000000001,182.912,0.032,0.048
8,-739.0830000000001,-140.343,-0.156,0.017
9,-738.069,501.832,0.16899999999999998,0.397
10,-737.054,52.902,-0.415,0.40399999999999997
11,-736.039,-25.8,0.09699999999999999,0.057999999999999996
12,-735.025,121.821,-0.01,0.013000000000000001
13,-734.01,-200.0,-0.039,-0.35
14,-732.9960000000001,-200.0,0.057,-0.303
15,-731.9810000000001,-200.0,-0.013000000000000001,-0.069
16,-730.966,73.634,-0.073,0.077
17,-729.952,92.225,-0.1,0.115
18,-728.937,-153.083,-0.171,-0.012
19,-727.923,67.72399999999999,-0.16,0.166
20,-726.908,35.256,0.14300000000000002,-0.128
21,-725.8939999999999,-200.0,-0.001,-0.16
22,-724.8789999999999,89.915,-0.193,-0.21899999999999997
23,-723.8639999999999,96.273,0.067,-0.078
24,-722.85,230.331,-0.125,0.20800000000000002
25,-721.835,-101.096,-0.365,-0.091
26,-720.821,84.133,-0.11699999999999999,0.13
27,-719.806,-200.0,-0.067,-0.303
28,-718.791,-63.367,-0.247,-0.10300000000000001
29,-717.7769999999999,800.0,-0.079,-0.295
30,-716.762,-125.072,-0.373,0.057999999999999996
31,-715.748,-39.058,-0.193,-0.10300000000000001
32,-714.7330000000001,-35.149,-0.18899999999999997,-0.105
33,-713.7180000000001,-174.787,0.226,-0.006
34,-712.704,-200.0,0.027999999999999997,0.139
35,-711.689,-106.382,0.193,-0.044000000000000004
36,-710.675,-80.967,-0.26,-0.087
37,-709.66,-116.307,-0.10400000000000001,0.02
38,-708.645,-76.62899999999999,0.28,-0.1
39,-707.6310000000001,-135.498,0.491,0.059000000000000004
40,-706.6160000000001,-63.358999999999995,-0.179,0.075
41,-705.602,208.812,0.21100000000000002,-0.335
42,-704.587,-134.525,0.436,0.054000000000000006
43,-703.572,1.8330000000000002,0.114,0.084
44,-702.558,-200.0,-0.003,0.24
45,-701.543,-67.417,0.157,-0.063
46,-700.529,800.0,-0.051,0.198
47,-699.5139999999999,52.458999999999996,-0.16399999999999998,-0.159
48,-698.4989999999999,-200.0,-0.02,-0.299
49,-697.485,-42.114,0.374,0.19399999999999998
50,-696.47,-54.873000000000005,-0.124,-0.057
51,-695.456,13.818,-0.22399999999999998,-0.177
52,-694.441,-175.843,-0.146,0.004
53,-693.426,58.757,0.05,-0.05
54,-692.4119999999999,-200.0,0.031,-0.34299999999999997
55,-691.3969999999999,800.0,-0.02,0.064
56,-690.383,-125.084,-0.516,-0.08
57,-689.368,-16.793,0.188,-0.121
58,-688.3539999999999,230.493,-0.217,0.361
59,-687.3389999999999,-132.23,0.353,0.046
60,-686.324,35.421,0.233,0.207
61,-685.31,186.335,0.106,0.16
62,-684.295,28.465,0.131,-0.11199999999999999
63,-683.2810000000001,122.50200000000001,-0.225,0.28600000000000003
64,-682.2660000000001,365.899,-0.049,0.1
65,-681.2510000000001,-119.719,0.067,0.012
66,-680.237,-200.0,0.135,-0.7559999999999999
67,-679.222,-82.344,-0.086,-0.027999999999999997
68,-678.2080000000001,-113.206,-0.361,0.07200000000000001
69,-677.193,-106.05,-0.247,0.055999999999999994
70,-676.178,-3.611,-0.125,-0.08800000000000001
71,-675.164,-73.247,0.113,0.042
72,-674.1489999999999,-200.0,0.009000000000000001,0.111
73,-673.135,-63.242,-0.381,0.159
74,-672.12,324.915,0.08900000000000001,0.172
75,-671.105,-103.619,-0.27399999999999997,-0.065
76,-670.091,-95.87899999999999,0.3,0.081
77,-669.076,471.30400000000003,-0.08900000000000001,-0.203
78,-668.062,-107.065,0.052000000000000005,0.012
79,-667.047,-24.389,-0.309,-0.187
80,-666.0319999999999,-200.0,-0.04,-0.371
81,-665.018,-77.173,-0.081,0.028999999999999998
82,-664.003,-34.574,-0.35600000000000004,-0.19699999999999998
83,-662.9889999999999,379.767,0.07400000000000001,-0.154
84,-661.9739999999999,165.88,0.19899999999999998,-0.28600000000000003
85,-660.959,154.226,0.017,0.023
86,-659.945,-144.694,0.308,0.028999999999999998
87,-658.93,-85.61200000000001,0.20600000000000002,-0.065
88,-657.916,137.422,-0.191,-0.253
89,-656.9010000000001,39.254,0.207,0.188
90,-655.8860000000001,246.12400000000002,-0.231,0.39399999999999996
91,-654.872,-200.0,-0.009000000000000001,0.26
92,-653.857,402.749,-0.08900000000000001,-0.18899999999999997
93,-652.8430000000001,-95.964,-0.08199999999999999,0.022000000000000002
94,-651.828,-200.0,0.0,0.22899999999999998
95,-650.814,-3.403,0.218,-0.153
96,-649.799,95.01799999999999,0.21,-0.242
97,-648.784,165.33,-0.131,0.188
98,-647.77,-38.823,-0.16699999999999998,-0.08900000000000001
99,-646.755,124.37700000000001,-0.023,0.028999999999999998
100,-645.741,-165.188,0.38,0.017
101,-644.726,-200.0,-0.003,-0.015
102,-643.711,-200.0,0.021,0.261
103,-642.697,-159.365,-0.392,0.022000000000000002
104,-641.682,26.752,0.138,0.11699999999999999
105,-640.668,-36.149,0.311,-0.17
106,-639.653,-9.562000000000001,-0.18899999999999997,0.128
