,length (m),temperature (°C),Stokes,anti-Stokes
109,-636.609,62.475,-0.047,0.048
110,-635.595,-142.245,0.807,-0.081
111,-634.58,-115.485,0.9640000000000001,0.185
112,-633.565,-45.68,-0.7020000000000001,0.353
113,-632.5509999999999,-200.0,-0.004,0.355
114,-631.536,-50.583999999999996,0.46399999999999997,-0.222
115,-630.5219999999999,-200.0,0.044000000000000004,-0.474
116,-629.507,139.27200000000002,-0.358,0.478
117,-628.492,14.679,0.457,-0.363
118,-627.4780000000001,-138.0,-0.361,0.040999999999999995
119,-626.4630000000001,800.0,0.086,0.253
120,-625.4490000000001,-85.189,0.5379999999999999,0.171
121,-624.434,12.177999999999999,-0.22699999999999998,0.177
122,-623.419,-193.25799999999998,-0.305,0.003
123,-622.405,60.303999999999995,-0.413,0.415
124,-621.39,-1.581,-0.319,-0.22899999999999998
125,-620.376,15.114,-0.57,0.45399999999999996
126,-619.361,-45.066,-0.35700000000000004,0.18
127,-618.346,-178.636,0.34299999999999997,-0.008
128,-617.332,-34.163000000000004,0.375,0.209
129,-616.317,137.57399999999998,-0.547,-0.727
130,-615.303,-183.665,0.7859999999999999,0.013999999999999999
131,-614.288,-3.1189999999999998,-0.073,0.052000000000000005
132,-613.273,800.0,0.037000000000000005,0.15
133,-612.259,119.288,0.516,-0.648
134,-611.244,-194.372,-0.32,0.003
135,-610.23,-5.212000000000001,-0.33899999999999997,0.23600000000000002
136,-609.215,-6.4639999999999995,-0.444,-0.307
137,-608.201,200.72,0.265,-0.414
138,-607.186,800.0,-0.099,-0.368
139,-606.1709999999999,-73.89699999999999,0.568,-0.209
140,-605.1569999999999,70.73,-0.532,-0.5589999999999999
141,-604.1419999999999,800.0,-0.128,-0.505
142,-603.128,60.387,0.20600000000000002,0.207
143,-602.113,-48.081,0.465,-0.228
144,-601.0980000000001,-105.91799999999999,-0.41700000000000004,0.095
145,-600.0840000000001,95.189,-0.316,0.366
146,-599.069,74.294,-0.11699999999999999,0.125
147,-598.055,-135.887,-0.648,0.078
148,-597.04,-124.671,0.09,-0.013999999999999999
149,-596.025,-15.190999999999999,0.106,0.069
150,-595.011,209.11900000000003,-0.6,0.953
151,-593.996,375.63800000000003,0.374,0.774
152,-592.982,9.017999999999999,0.44299999999999995,0.33899999999999997
153,-591.967,-200.0,-0.062,0.305
154,-590.952,30.781,0.607,0.527
155,-589.938,-113.735,-0.379,0.075
156,-588.923,-200.0,0.083,0.727
157,-587.909,365.27,-0.237,0.485
158,-586.894,800.0,0.10400000000000001,0.349
159,-585.879,-200.0,0.032,0.602
160,-584.865,-94.77,-0.9179999999999999,0.253
161,-583.85,9.391,-0.248,-0.19
162,-582.836,251.08700000000002,0.292,0.504
163,-581.821,126.774,-0.39299999999999996,-0.504
164,-580.806,-157.37,-0.534,0.033
165,-579.7919999999999,-200.0,-0.006,-0.49200000000000005
166,-578.7769999999999,237.65,0.266,-0.44799999999999995
167,-577.763,92.469,-0.49,0.561
168,-576.748,-200.0,0.017,-0.29600000000000004
169,-575.7330000000001,-47.224,0.381,-0.188
170,-574.719,-79.039,0.821,0.28300000000000003
171,-573.7040000000001,384.041,-0.67,-1.399
172,-572.69,-148.57,-0.37799999999999995,0.031
173,-571.675,-7.561,0.22399999999999998,0.154
174,-570.661,404.01099999999997,-0.321,0.6859999999999999
175,-569.646,-141.41299999999998,-0.254,0.026000000000000002
176,-568.631,800.0,-0.08800000000000001,-0.32299999999999995
177,-567.617,1.99,-0.239,-0.175
178,-566.602,431.755,0.171,0.376
179,-565.5880000000001,-164.69799999999998,0.774,0.035
180,-564.573,177.975,0.18899999999999997,-0.28
181,-563.558,-200.0,-0.142,0.6709999999999999
182,-562.544,22.125,-0.179,0.14800000000000002
183,-561.529,-200.0,-0.004,0.052000000000000005
184,-560.515,-46.19,0.732,-0.365
185,-559.5,-200.0,-0.035,-0.41600000000000004
186,-558.485,-86.913,0.40399999999999997,0.125
187,-557.471,-200.0,0.040999999999999995,-0.326
188,-556.456,-200.0,0.035,0.46799999999999997
189,-555.442,15.82,-0.499,0.39799999999999996
190,-554.427,570.8,0.445,1.097
191,-553.4119999999999,800.0,0.078,0.318
192,-552.398,6.496,0.503,-0.379
193,-551.383,-152.498,0.81,0.059000000000000004
194,-550.369,-165.43400000000003,0.53,-0.024
195,-549.354,-200.0,-0.066,-0.315
196,-548.339,-22.055,0.215,-0.132
197,-547.325,-147.439,-0.48,-0.040999999999999995
198,-546.31,-200.0,0.11800000000000001,0.795
199,-545.2959999999999,800.0,-0.14800000000000002,-0.456
200,-544.281,-200.0,0.07400000000000001,1.1420000000000001
201,-543.266,604.736,0.182,0.45799999999999996
202,-542.252,-200.0,0.037000000000000005,-0.318
203,-541.237,-153.96,-0.8320000000000001,0.057
204,-540.2230000000001,-17.944000000000003,-0.89,-0.565
205,-539.2080000000001,725.637,-0.047,-0.128
206,-538.193,280.682,-0.278,-0.503
207,-537.179,800.0,-0.341,-0.998
208,-536.164,-56.772,0.405,0.18100000000000002
209,-535.15,800.0,-0.078,0.285
210,-534.135,-200.0,0.005,-0.54
211,-533.121,60.013999999999996,0.569,0.569
212,-532.106,-125.443,0.43700000000000006,-0.067
213,-531.091,534.047,-0.266,0.639
214,-530.077,-134.718,-0.52,-0.064
215,-529.062,749.077,-0.33799999999999997,-0.922
216,-528.048,-36.121,-0.484,-0.265
217,-527.033,-200.0,0.081,0.578
218,-526.018,-94.556,-0.359,-0.099
219,-525.004,78.631,-0.10400000000000001,0.113
220,-523.989,-64.54899999999999,-0.436,-0.179
221,-522.975,-112.51899999999999,-0.627,-0.127
222,-521.96,75.127,-0.516,-0.551
223,-520.945,395.19300000000004,0.098,0.207
224,-519.931,-200.0,-0.066,-0.473
225,-518.9159999999999,7.444,-0.43799999999999994,0.331
